Geography,Date,ASP,type
HartfordSpringfield,2015-01-18,2.35,organic
Houston,2015-01-18,1.2,organic
Indianapolis,2015-01-18,1.96,organic
Jacksonville,2015-01-18,1.82,organic
LasVegas,2015-01-18,1.63,organic
LosAngeles,2015-01-18,1.29,organic
Louisville,2015-01-18,1.79,organic
MiamiFtLauderdale,2015-01-18,1.87,organic
Midsouth,2015-01-18,1.65,organic
Nashville,2015-01-18,1.81,organic
NewOrleansMobile,2015-01-18,0.98,organic
NewYork,2015-01-18,2.08,organic
Northeast,2015-01-18,1.94,organic
NorthernNewEngland,2015-01-18,1.88,organic
Orlando,2015-01-18,1.79,organic
Philadelphia,2015-01-18,1.93,organic
PhoenixTucson,2015-01-18,1.36,organic
Pittsburgh,2015-01-18,1.55,organic
Plains,2015-01-18,1.8,organic
Portland,2015-01-18,1.24,organic
RaleighGreensboro,2015-01-18,1.97,organic
RichmondNorfolk,2015-01-18,1.62,organic
Roanoke,2015-01-18,1.48,organic
Sacramento,2015-01-18,1.13,organic
SanDiego,2015-01-18,1.29,organic
SanFrancisco,2015-01-18,1.27,organic
Seattle,2015-01-18,1.45,organic
SouthCarolina,2015-01-18,1.93,organic
SouthCentral,2015-01-18,1.27,organic
Southeast,2015-01-18,1.79,organic
Spokane,2015-01-18,1.44,organic
StLouis,2015-01-18,1.92,organic
Syracuse,2015-01-18,1.84,organic
Tampa,2015-01-18,1.73,organic
TotalUS,2015-01-18,1.42,organic
West,2015-01-18,1.33,organic
WestTexNewMexico,2015-01-18,1.71,organic
Albany,2015-01-25,1.06,Conventional
Atlanta,2015-01-25,1.1,Conventional
BaltimoreWashington,2015-01-25,1.2,Conventional
Boise,2015-01-25,1.03,Conventional
Boston,2015-01-25,1.17,Conventional
BuffaloRochester,2015-01-25,1.5,Conventional
California,2015-01-25,1.06,Conventional
Charlotte,2015-01-25,1.18,Conventional
Chicago,2015-01-25,1.22,Conventional
CincinnatiDayton,2015-01-25,0.93,Conventional
Columbus,2015-01-25,1.08,Conventional
DallasFtWorth,2015-01-25,0.8,Conventional
Denver,2015-01-25,1.02,Conventional
Detroit,2015-01-25,1.19,Conventional
GrandRapids,2015-01-25,1.19,Conventional
GreatLakes,2015-01-25,1.13,Conventional
HarrisburgScranton,2015-01-25,1.17,Conventional
HartfordSpringfield,2015-01-25,1.35,Conventional
Houston,2015-01-25,0.77,Conventional
Indianapolis,2015-01-25,1.06,Conventional
Jacksonville,2015-01-25,1.2,Conventional
LasVegas,2015-01-25,1.06,Conventional
LosAngeles,2015-01-25,0.96,Conventional
Louisville,2015-01-25,1.02,Conventional
MiamiFtLauderdale,2015-01-25,1.27,Conventional
Midsouth,2015-01-25,1.15,Conventional
Nashville,2015-01-25,1.07,Conventional
NewOrleansMobile,2015-01-25,0.94,Conventional
NewYork,2015-01-25,1.36,Conventional
Northeast,2015-01-25,1.27,Conventional
NorthernNewEngland,2015-01-25,1.06,Conventional
Orlando,2015-01-25,1.28,Conventional
Philadelphia,2015-01-25,1.36,Conventional
PhoenixTucson,2015-01-25,0.61,Conventional
Pittsburgh,2015-01-25,1.32,Conventional
Plains,2015-01-25,1.08,Conventional
Portland,2015-01-25,1.09,Conventional
RaleighGreensboro,2015-01-25,1.16,Conventional
RichmondNorfolk,2015-01-25,1.17,Conventional
Roanoke,2015-01-25,1.15,Conventional
Sacramento,2015-01-25,1.19,Conventional
SanDiego,2015-01-25,1.02,Conventional
SanFrancisco,2015-01-25,1.21,Conventional
Seattle,2015-01-25,1.26,Conventional
SouthCarolina,2015-01-25,1.06,Conventional
SouthCentral,2015-01-25,0.81,Conventional
Southeast,2015-01-25,1.15,Conventional
Spokane,2015-01-25,1.21,Conventional
StLouis,2015-01-25,1.17,Conventional
Syracuse,2015-01-25,1.37,Conventional
Tampa,2015-01-25,1.21,Conventional
TotalUS,2015-01-25,1.04,Conventional
West,2015-01-25,0.94,Conventional
WestTexNewMexico,2015-01-25,0.8,Conventional
Albany,2015-01-25,1.89,organic
Atlanta,2015-01-25,1.87,organic
BaltimoreWashington,2015-01-25,1.41,organic
Boise,2015-01-25,1.82,organic
Boston,2015-01-25,2.01,organic
BuffaloRochester,2015-01-25,1.6,organic
California,2015-01-25,1.3,organic
Charlotte,2015-01-25,2.29,organic
Chicago,2015-01-25,1.83,organic
CincinnatiDayton,2015-01-25,1.26,organic
Columbus,2015-01-25,1.67,organic
DallasFtWorth,2015-01-25,1.34,organic
Denver,2015-01-25,1.33,organic
Detroit,2015-01-25,1.62,organic
GrandRapids,2015-01-25,2.01,organic
GreatLakes,2015-01-25,1.63,organic
HarrisburgScranton,2015-01-25,1.8,organic
HartfordSpringfield,2015-01-25,2.21,organic
Houston,2015-01-25,1.24,organic
Indianapolis,2015-01-25,1.78,organic
Jacksonville,2015-01-25,1.88,organic
LasVegas,2015-01-25,1.66,organic
LosAngeles,2015-01-25,1.23,organic
Louisville,2015-01-25,1.68,organic
MiamiFtLauderdale,2015-01-25,1.84,organic
Midsouth,2015-01-25,1.63,organic
Nashville,2015-01-25,1.71,organic
NewOrleansMobile,2015-01-25,1.47,organic
NewYork,2015-01-25,2.02,organic
Northeast,2015-01-25,1.92,organic
NorthernNewEngland,2015-01-25,1.9,organic
Orlando,2015-01-25,1.82,organic
Philadelphia,2015-01-25,1.82,organic
PhoenixTucson,2015-01-25,1.54,organic
Pittsburgh,2015-01-25,1.7,organic
Plains,2015-01-25,1.8,organic
Portland,2015-01-25,1.35,organic
RaleighGreensboro,2015-01-25,2.02,organic
RichmondNorfolk,2015-01-25,1.57,organic
Roanoke,2015-01-25,1.47,organic
Sacramento,2015-01-25,1.44,organic
SanDiego,2015-01-25,1.26,organic
SanFrancisco,2015-01-25,1.34,organic
Seattle,2015-01-25,1.7,organic
SouthCarolina,2015-01-25,2.01,organic
SouthCentral,2015-01-25,1.37,organic
Southeast,2015-01-25,1.81,organic
Spokane,2015-01-25,1.66,organic
StLouis,2015-01-25,1.93,organic
Syracuse,2015-01-25,1.77,organic
Tampa,2015-01-25,1.75,organic
TotalUS,2015-01-25,1.53,organic
West,2015-01-25,1.52,organic
WestTexNewMexico,2015-01-25,1.63,organic
Atlanta,2015-02-01,0.96,Conventional
BaltimoreWashington,2015-02-01,1.06,Conventional
Boise,2015-02-01,0.91,Conventional
Boston,2015-02-01,1.22,Conventional
BuffaloRochester,2015-02-01,1.33,Conventional
California,2015-02-01,0.85,Conventional
Charlotte,2015-02-01,0.98,Conventional
Chicago,2015-02-01,0.91,Conventional
CincinnatiDayton,2015-02-01,0.86,Conventional
Columbus,2015-02-01,0.87,Conventional
DallasFtWorth,2015-02-01,0.68,Conventional
Denver,2015-02-01,0.93,Conventional
Detroit,2015-02-01,0.92,Conventional
GrandRapids,2015-02-01,0.94,Conventional
GreatLakes,2015-02-01,0.91,Conventional
HarrisburgScranton,2015-02-01,1.06,Conventional
HartfordSpringfield,2015-02-01,1.32,Conventional
Houston,2015-02-01,0.72,Conventional
Indianapolis,2015-02-01,0.92,Conventional
Jacksonville,2015-02-01,0.92,Conventional
LasVegas,2015-02-01,0.94,Conventional
LosAngeles,2015-02-01,0.74,Conventional
Louisville,2015-02-01,0.9,Conventional
MiamiFtLauderdale,2015-02-01,0.95,Conventional
Midsouth,2015-02-01,0.99,Conventional
Nashville,2015-02-01,0.94,Conventional
NewOrleansMobile,2015-02-01,0.81,Conventional
NewYork,2015-02-01,1.36,Conventional
Northeast,2015-02-01,1.23,Conventional
NorthernNewEngland,2015-02-01,1.06,Conventional
Orlando,2015-02-01,0.95,Conventional
Philadelphia,2015-02-01,1.14,Conventional
PhoenixTucson,2015-02-01,0.56,Conventional
Pittsburgh,2015-02-01,1.25,Conventional
Plains,2015-02-01,0.92,Conventional
Portland,2015-02-01,0.98,Conventional
RaleighGreensboro,2015-02-01,0.99,Conventional
RichmondNorfolk,2015-02-01,0.97,Conventional
Roanoke,2015-02-01,1.0,Conventional
Sacramento,2015-02-01,1.04,Conventional
SanDiego,2015-02-01,0.85,Conventional
SanFrancisco,2015-02-01,0.91,Conventional
Seattle,2015-02-01,0.97,Conventional
SouthCarolina,2015-02-01,0.91,Conventional
SouthCentral,2015-02-01,0.71,Conventional
Southeast,2015-02-01,0.93,Conventional
Spokane,2015-02-01,0.97,Conventional
StLouis,2015-02-01,1.1,Conventional
Syracuse,2015-02-01,1.26,Conventional
Tampa,2015-02-01,0.92,Conventional
TotalUS,2015-02-01,0.89,Conventional
West,2015-02-01,0.84,Conventional
WestTexNewMexico,2015-02-01,0.71,Conventional
Albany,2015-02-01,1.83,organic
Atlanta,2015-02-01,1.44,organic
BaltimoreWashington,2015-02-01,1.15,organic
Boise,2015-02-01,1.43,organic
Boston,2015-02-01,1.78,organic
BuffaloRochester,2015-02-01,1.55,organic
California,2015-02-01,1.11,organic
Charlotte,2015-02-01,1.93,organic
Chicago,2015-02-01,1.52,organic
CincinnatiDayton,2015-02-01,1.19,organic
Columbus,2015-02-01,1.63,organic
DallasFtWorth,2015-02-01,1.24,organic
Denver,2015-02-01,1.29,organic
Detroit,2015-02-01,1.55,organic
GrandRapids,2015-02-01,1.98,organic
GreatLakes,2015-02-01,1.53,organic
HarrisburgScranton,2015-02-01,1.65,organic
HartfordSpringfield,2015-02-01,1.54,organic
Houston,2015-02-01,1.15,organic
Indianapolis,2015-02-01,1.69,organic
Jacksonville,2015-02-01,1.76,organic
LasVegas,2015-02-01,1.6,organic
LosAngeles,2015-02-01,1.12,organic
Louisville,2015-02-01,1.55,organic
MiamiFtLauderdale,2015-02-01,1.73,organic
Midsouth,2015-02-01,1.44,organic
Nashville,2015-02-01,1.65,organic
NewOrleansMobile,2015-02-01,1.48,organic
NewYork,2015-02-01,1.93,organic
Northeast,2015-02-01,1.78,organic
NorthernNewEngland,2015-02-01,1.89,organic
Orlando,2015-02-01,1.76,organic
Philadelphia,2015-02-01,1.69,organic
PhoenixTucson,2015-02-01,1.18,organic
Pittsburgh,2015-02-01,1.77,organic
Plains,2015-02-01,1.67,organic
Portland,2015-02-01,1.2,organic
RaleighGreensboro,2015-02-01,1.79,organic
RichmondNorfolk,2015-02-01,1.58,organic
Roanoke,2015-02-01,1.5,organic
Sacramento,2015-02-01,1.22,organic
SanDiego,2015-02-01,1.11,organic
SanFrancisco,2015-02-01,1.06,organic
Seattle,2015-02-01,1.44,organic
SouthCarolina,2015-02-01,1.66,organic
SouthCentral,2015-02-01,1.28,organic
Southeast,2015-02-01,1.6,organic
Spokane,2015-02-01,1.38,organic
StLouis,2015-02-01,1.93,organic
Syracuse,2015-02-01,1.65,organic
Tampa,2015-02-01,1.68,organic
TotalUS,2015-02-01,1.36,organic
West,2015-02-01,1.34,organic
WestTexNewMexico,2015-02-01,1.77,organic
Albany,2015-02-08,0.99,Conventional
Albany,2015-02-08,0.99,Conventional
Atlanta,2015-02-08,1.03,Conventional
BaltimoreWashington,2015-02-08,1.09,Conventional
Boise,2015-02-08,1.07,Conventional
Boston,2015-02-08,1.04,Conventional
BuffaloRochester,2015-02-08,1.36,Conventional
California,2015-02-08,0.91,Conventional
Charlotte,2015-02-08,1.17,Conventional
Chicago,2015-02-08,1.13,Conventional
CincinnatiDayton,2015-02-08,0.93,Conventional
Columbus,2015-02-08,0.96,Conventional
DallasFtWorth,2015-02-08,0.67,Conventional
Denver,2015-02-08,0.95,Conventional
Detroit,2015-02-08,1.11,Conventional
GrandRapids,2015-02-08,1.24,Conventional
GreatLakes,2015-02-08,1.07,Conventional
HarrisburgScranton,2015-02-08,1.02,Conventional
HartfordSpringfield,2015-02-08,1.09,Conventional
Houston,2015-02-08,0.7,Conventional
Indianapolis,2015-02-08,0.98,Conventional
Jacksonville,2015-02-08,1.21,Conventional
LasVegas,2015-02-08,1.01,Conventional
LosAngeles,2015-02-08,0.9,Conventional
Louisville,2015-02-08,1.0,Conventional
MiamiFtLauderdale,2015-02-08,1.25,Conventional
Midsouth,2015-02-08,1.06,Conventional
Nashville,2015-02-08,0.94,Conventional
NewOrleansMobile,2015-02-08,0.93,Conventional
NewYork,2015-02-08,1.11,Conventional
Northeast,2015-02-08,1.09,Conventional
NorthernNewEngland,2015-02-08,1.03,Conventional
Orlando,2015-02-08,1.23,Conventional
Philadelphia,2015-02-08,1.09,Conventional
PhoenixTucson,2015-02-08,0.64,Conventional
Pittsburgh,2015-02-08,1.38,Conventional
Plains,2015-02-08,0.98,Conventional
Portland,2015-02-08,1.08,Conventional
RaleighGreensboro,2015-02-08,1.14,Conventional
RichmondNorfolk,2015-02-08,1.06,Conventional
Roanoke,2015-02-08,1.02,Conventional
Sacramento,2015-02-08,0.98,Conventional
SanDiego,2015-02-08,0.98,Conventional
SanFrancisco,2015-02-08,0.92,Conventional
Seattle,2015-02-08,1.08,Conventional
SouthCarolina,2015-02-08,1.06,Conventional
SouthCentral,2015-02-08,0.73,Conventional
Southeast,2015-02-08,1.11,Conventional
Spokane,2015-02-08,1.03,Conventional
StLouis,2015-02-08,1.09,Conventional
Syracuse,2015-02-08,1.25,Conventional
Tampa,2015-02-08,1.19,Conventional
TotalUS,2015-02-08,0.95,Conventional
West,2015-02-08,0.89,Conventional
WestTexNewMexico,2015-02-08,0.72,Conventional
Albany,2015-02-08,1.59,organic
Atlanta,2015-02-08,1.29,organic
BaltimoreWashington,2015-02-08,1.43,organic
Boise,2015-02-08,1.35,organic
Boston,2015-02-08,1.91,organic
BuffaloRochester,2015-02-08,1.54,organic
California,2015-02-08,1.35,organic
Charlotte,2015-02-08,1.87,organic
Chicago,2015-02-08,1.78,organic
CincinnatiDayton,2015-02-08,1.24,organic
Columbus,2015-02-08,1.78,organic
DallasFtWorth,2015-02-08,1.35,organic
Denver,2015-02-08,1.4,organic
Detroit,2015-02-08,1.86,organic
GrandRapids,2015-02-08,1.79,organic
GreatLakes,2015-02-08,1.64,organic
HarrisburgScranton,2015-02-08,1.67,organic
HartfordSpringfield,2015-02-08,2.37,organic
Houston,2015-02-08,1.25,organic
Indianapolis,2015-02-08,1.68,organic
Jacksonville,2015-02-08,1.71,organic
LasVegas,2015-02-08,1.68,organic
LosAngeles,2015-02-08,1.29,organic
Louisville,2015-02-08,1.61,organic
MiamiFtLauderdale,2015-02-08,1.72,organic
Midsouth,2015-02-08,1.58,organic
Nashville,2015-02-08,1.64,organic
NewOrleansMobile,2015-02-08,1.53,organic
NewYork,2015-02-08,1.95,organic
Northeast,2015-02-08,1.85,organic
NorthernNewEngland,2015-02-08,1.88,organic
Orlando,2015-02-08,1.75,organic
Philadelphia,2015-02-08,1.76,organic
PhoenixTucson,2015-02-08,1.55,organic
Pittsburgh,2015-02-08,1.6,organic
Plains,2015-02-08,1.54,organic
Portland,2015-02-08,1.23,organic
RaleighGreensboro,2015-02-08,1.73,organic
RichmondNorfolk,2015-02-08,1.55,organic
Roanoke,2015-02-08,1.44,organic
Sacramento,2015-02-08,1.5,organic
SanDiego,2015-02-08,1.29,organic
SanFrancisco,2015-02-08,1.35,organic
Seattle,2015-02-08,1.4,organic
SouthCarolina,2015-02-08,1.56,organic
SouthCentral,2015-02-08,1.39,organic
Southeast,2015-02-08,1.51,organic
Spokane,2015-02-08,1.43,organic
StLouis,2015-02-08,1.89,organic
Syracuse,2015-02-08,1.65,organic
Tampa,2015-02-08,1.65,organic
TotalUS,2015-02-08,1.48,organic
West,2015-02-08,1.4,organic
