Geography,Date,ASP,type
RichmondNorfolk,1/25/2015,1.17,Conventional
Roanoke,1/25/2015,1.15,Conventional
Sacramento,1/25/2015,1.19,Conventional
SanDiego,1/25/2015,1.02,Conventional
SanFrancisco,1/25/2015,1.21,Conventional
Seattle,1/25/2015,1.26,Conventional
SouthCarolina,1/25/2015,1.06,Conventional
SouthCentral,1/25/2015,0.81,Conventional
Southeast,1/25/2015,1.15,Conventional
Spokane,1/25/2015,1.21,Conventional
StLouis,1/25/2015,1.17,Conventional
Syracuse,1/25/2015,1.37,Conventional
Tampa,1/25/2015,1.21,Conventional
TotalUS,1/25/2015,1.04,Conventional
West,1/25/2015,0.94,Conventional
WestTexNewMexico,1/25/2015,0.80,Conventional
Albany,1/25/2015,1.89,Organic
Atlanta,1/25/2015,1.87,Organic
Baltimore/Washington,1/25/2015,1.41,Organic
Boise,1/25/2015,1.82,Organic
Boston,1/25/2015,2.01,Organic
BuffaloRochester,1/25/2015,1.60,Organic
California,1/25/2015,1.30,Organic
Charlotte,1/25/2015,2.29,Organic
Chicago,1/25/2015,1.83,Organic
CincinnatiDayton,1/25/2015,1.26,Organic
Columbus,1/25/2015,1.67,Organic
DallasFtWorth,1/25/2015,1.34,Organic
Denver,1/25/2015,1.33,Organic
Detroit,1/25/2015,1.62,Organic
GrandRapids,1/25/2015,2.01,Organic
GreatLakes,1/25/2015,1.63,Organic
HarrisburgScranton,1/25/2015,1.80,Organic
HartfordSpringfield,1/25/2015,2.21,Organic
Houston,1/25/2015,1.24,Organic
Indianapolis,1/25/2015,1.78,Organic
Jacksonville,1/25/2015,1.88,Organic
LasVegas,1/25/2015,1.66,Organic
LosAngeles,1/25/2015,1.23,Organic
Louisville,1/25/2015,1.68,Organic
MiamiFtLauderdale,1/25/2015,1.84,Organic
Midsouth,1/25/2015,1.63,Organic
Nashville,1/25/2015,1.71,Organic
NewOrleansMobile,1/25/2015,1.47,Organic
NewYork,1/25/2015,2.02,Organic
Northeast,1/25/2015,1.92,Organic
NorthernNewEngland,1/25/2015,1.90,Organic
Orlando,1/25/2015,1.82,Organic
Philadelphia,1/25/2015,1.82,Organic
PhoenixTucson,1/25/2015,1.54,Organic
Pittsburgh,1/25/2015,1.70,Organic
Plains,1/25/2015,1.80,Organic
Portland,1/25/2015,1.35,Organic
RaleighGreensboro,1/25/2015,2.02,Organic
RichmondNorfolk,1/25/2015,1.57,Organic
Roanoke,1/25/2015,1.47,Organic
Sacramento,1/25/2015,1.44,Organic
SanDiego,1/25/2015,1.26,Organic
SanFrancisco,1/25/2015,1.34,Organic
Seattle,1/25/2015,1.70,Organic
SouthCarolina,1/25/2015,2.01,Organic
SouthCentral,1/25/2015,1.37,Organic
Southeast,1/25/2015,1.81,Organic
Spokane,1/25/2015,1.66,Organic
StLouis,1/25/2015,1.93,Organic
Syracuse,1/25/2015,1.77,Organic
Tampa,1/25/2015,1.75,Organic
TotalUS,1/25/2015,1.53,Organic
West,1/25/2015,1.52,Organic
WestTexNewMexico,1/25/2015,1.63,Organic
Atlanta,2/1/2015,0.96,Conventional
Baltimore/Washington,2/1/2015,1.06,Conventional
Boise,2/1/2015,0.91,Conventional
Boston,2/1/2015,1.22,Conventional
BuffaloRochester,2/1/2015,1.33,Conventional
California,2/1/2015,0.85,Conventional
Charlotte,2/1/2015,0.98,Conventional
Chicago,2/1/2015,0.91,Conventional
CincinnatiDayton,2/1/2015,0.86,Conventional
Columbus,2/1/2015,0.87,Conventional
DallasFtWorth,2/1/2015,0.68,Conventional
Denver,2/1/2015,0.93,Conventional
Detroit,2/1/2015,0.92,Conventional
GrandRapids,2/1/2015,0.94,Conventional
GreatLakes,2/1/2015,0.91,Conventional
HarrisburgScranton,2/1/2015,1.06,Conventional
